County,FIPS,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,,
Livingston,22063,4.08,4.1,4.1,4.1,4.12,4.11,4.13,4.11,3.58,3,3.27,3.59,3.59,101
Avoyelles,22009,3.99,4.04,4.03,4.03,4.06,4.05,4.07,4.07,3.53,2.98,3.2,3.6,3.6,103
Red River,22081,4.11,4.16,4.15,4.14,4.14,4.16,4.19,4.15,3.8,3.2,3.27,3.6,3.73,105
Jackson,22049,4.05,4.05,4.07,4.08,4.07,4.09,4.12,4.11,3.57,2.84,2.89,3.62,3.58,107
Cameron,22023,4.2,4.23,4.21,4.17,4.24,4.22,4.25,4.23,3.88,3.37,3.47,3.63,3.72,109
Tensas,22107,3.84,4.11,4.11,4.1,4.07,4.06,4.08,4.08,3.15,2.56,3.08,3.63,3.51,111
Claiborne,22027,4.15,4.14,4.2,4.17,4.15,4.2,4.24,4.21,3.54,2.58,2.73,3.64,3.63,113
West Carroll,22123,4.01,4.05,4.08,4.01,4.07,4.09,4.08,4.09,3.6,2.99,3.24,3.65,3.53,115
St. Helena,22091,4.26,4.32,4.32,4.32,4.32,4.35,4.35,4.32,3.7,2.78,3.09,3.71,3.76,117
De Soto,22031,4.25,4.26,4.25,4.26,4.27,4.28,4.28,4.26,3.71,3.19,3.11,3.72,3.7,119
Richland,22083,4.18,4.21,4.22,4.21,4.23,4.26,4.24,4.25,3.71,3.2,3.35,3.74,3.74,121
Union,22111,4.24,4.25,4.26,4.24,4.24,4.28,4.3,4.26,3.75,3.17,3.31,3.74,3.74,123
Franklin,22041,4.11,4.12,4.11,4.12,4.12,4.15,4.15,4.13,3.63,3.32,3.38,3.76,3.71,125
Grant,22043,4.2,4.22,4.2,4.22,4.23,4.23,4.24,4.24,3.62,3.1,3.31,3.8,3.78,127
