County,FIPS,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,,
Franklin,36033,3.84,3.87,3.62,3.85,3.88,3.81,3.89,3.84,3.1,2.33,2.45,3.11,3.05,101
Chemung,36015,3.78,3.8,3.69,3.83,3.84,3.85,3.86,3.82,3.09,2.16,2.53,3.15,2.96,103
Hamilton,36041,3.88,3.9,3.63,3.95,3.9,3.8,4.08,3.97,3.11,2.73,2.51,3.17,2.68,105
Jefferson,36045,3.77,3.84,3.66,3.86,3.78,3.51,3.92,3.87,3.16,2.68,2.75,3.17,3,107
Montgomery,36057,3.73,3.78,3.69,3.8,3.8,3.82,3.87,3.81,3.12,2.8,2.86,3.18,3.2,109
Seneca,36099,3.83,3.84,3.69,3.86,3.88,3.87,3.9,3.88,3.16,2.46,2.62,3.18,3.17,111
Sullivan,36105,3.92,3.98,3.94,3.97,4,4.03,4.05,3.97,3.21,2.5,2.44,3.19,2.94,113
Washington,36115,3.92,3.95,3.83,3.93,3.96,3.98,3.96,3.93,3.45,2.74,2.9,3.25,3.2,115
Fulton,36035,3.85,3.88,3.79,3.86,3.87,3.9,3.9,3.86,3.36,2.94,3.02,3.29,3.22,117
Wyoming,36121,4.01,3.97,3.94,4.03,4.03,3.77,4.1,4,3.29,2.71,2.99,3.3,3.26,119
Lewis,36049,3.8,3.88,3.71,3.93,3.91,3.67,4.01,3.95,3.33,2.56,2.69,3.37,3.2,121
Orleans,36073,4.01,4,3.96,4.05,4.04,4.03,4.1,4,3.25,2.45,2.64,3.42,3.29,123
